row_id,player_id,age,position,team,opponent,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pct,ft_pct,plus_minus,efficiency,game_location,rest_days,target
8995,1079,21,C,NYK,OKC,16.5,8,3,2,0,2,0,58.1,28.2,73.0,7,15,Home,3,0
4083,1407,24,SG,LAC,PHX,19.9,15,5,2,0,2,3,42.2,44.5,86.1,-1,21,Home,0,0
6822,1255,27,PG,ATL,GSW,29.8,18,5,6,2,0,2,44.7,32.0,69.5,9,29,Away,2,1
4868,1091,25,PG,TOR,LAC,37.7,20,4,10,2,1,4,58.5,36.1,69.5,6,33,Home,2,1
5693,1024,20,SG,WAS,GSW,29.6,15,4,2,2,1,1,44.6,39.8,79.6,-6,23,Away,1,0
1627,1149,29,SG,ORL,MIL,18.6,8,1,2,0,0,1,54.8,18.6,78.8,2,10,Home,1,0
651,1399,26,PF,ATL,MEM,30.5,19,6,2,0,1,3,42.7,28.9,82.5,-12,25,Home,4,0
498,1430,27,PF,PHX,DET,23.8,11,6,3,1,1,2,42.8,17.9,85.1,2,20,Home,1,0
5696,1434,31,SG,GSW,PHX,17.0,8,2,3,1,0,1,58.8,29.9,87.2,10,13,Away,2,0
6233,1005,27,SF,MIN,GSW,38.3,18,6,2,1,0,4,39.2,34.7,87.0,-12,23,Away,5,0
6173,1421,22,SF,IND,POR,19.7,15,2,2,1,1,1,45.6,38.7,55.9,2,20,Home,1,0
5592,1108,24,SF,MIL,MEM,13.3,6,2,2,0,0,1,54.3,36.2,70.3,-2,9,Away,2,0
1068,1388,28,C,PHI,BKN,38.0,16,11,3,0,2,2,50.4,41.8,65.5,7,30,Home,1,1
3165,1476,29,PF,HOU,WAS,17.7,13,5,3,1,0,1,49.1,30.7,85.4,-1,21,Away,0,0
1237,1027,28,SG,LAC,MIL,24.5,10,5,6,0,1,2,47.8,39.4,74.7,0,20,Away,1,0
1736,1181,22,PF,MIN,DEN,20.8,8,4,2,0,1,1,39.0,35.4,65.4,5,14,Home,1,0
1684,1412,28,PG,NYK,BOS,18.1,16,3,6,1,0,1,50.1,33.3,82.0,8,25,Away,1,1
754,1465,31,PG,GSW,CLE,30.6,20,4,7,1,1,2,43.3,46.4,91.5,1,31,Away,3,1
